time,numerical_0,numerical_1,exact_0,exact_1
1.62000000,-0.99516190,0.19649718,-0.99516190,0.19649719
1.63000000,-0.99299804,0.23626170,-0.99299804,0.23626171
1.64000000,-0.99043698,0.27593173,-0.99043698,0.27593173
1.65000000,-0.98747977,0.31549138,-0.98747977,0.31549139
1.66000000,-0.98412758,0.35492484,-0.98412758,0.35492485
1.67000000,-0.98038175,0.39421634,-0.98038175,0.39421635
1.68000000,-0.97624378,0.43335015,-0.97624378,0.43335016
1.69000000,-0.97171532,0.47231063,-0.97171532,0.47231064
1.70000000,-0.96679819,0.51108220,-0.96679819,0.51108220
1.71000000,-0.96149436,0.54964933,-0.96149436,0.54964934
1.72000000,-0.95580594,0.58799662,-0.95580594,0.58799662
1.73000000,-0.94973521,0.62610871,-0.94973521,0.62610872
1.74000000,-0.94328460,0.66397037,-0.94328460,0.66397038
1.75000000,-0.93645669,0.70156645,-0.93645669,0.70156646
1.76000000,-0.92925421,0.73888191,-0.92925421,0.73888192
1.77000000,-0.92168004,0.77590183,-0.92168003,0.77590184
1.78000000,-0.91373720,0.81261140,-0.91373720,0.81261140
1.79000000,-0.90542889,0.84899593,-0.90542889,0.84899594
1.80000000,-0.89675842,0.88504088,-0.89675842,0.88504089
1.81000000,-0.88772925,0.92073182,-0.88772925,0.92073183
1.82000000,-0.87834501,0.95605448,-0.87834501,0.95605449
1.83000000,-0.86860944,0.99099474,-0.86860944,0.99099475
1.84000000,-0.85852644,1.02553861,-0.85852643,1.02553861
1.85000000,-0.84810003,1.05967227,-0.84810003,1.05967228
1.86000000,-0.83733440,1.09338209,-0.83733440,1.09338209
1.87000000,-0.82623385,1.12665456,-0.82623385,1.12665457
1.88000000,-0.81480281,1.15947639,-0.81480281,1.15947640
1.89000000,-0.80304587,1.19183444,-0.80304587,1.19183445
1.90000000,-0.79096771,1.22371577,-0.79096771,1.22371578
1.91000000,-0.77857318,1.25510764,-0.77857318,1.25510765
1.92000000,-0.76586724,1.28599748,-0.76586723,1.28599748
1.93000000,-0.75285495,1.31637293,-0.75285495,1.31637294
1.94000000,-0.73954153,1.34622186,-0.73954153,1.34622186
1.95000000,-0.72593231,1.37553231,-0.72593230,1.37553232
1.96000000,-0.71203272,1.40429257,-0.71203272,1.40429258
1.97000000,-0.69784833,1.43249113,-0.69784833,1.43249114
1.98000000,-0.68338481,1.46011671,-0.68338480,1.46011672
1.99000000,-0.66864794,1.48715827,-0.66864794,1.48715828
2.00000000,-0.65364362,1.51360498,-0.65364362,1.51360499
2.01000000,-0.63837786,1.53944627,-0.63837786,1.53944628
2.02000000,-0.62285675,1.56467181,-0.62285675,1.56467181
2.03000000,-0.60708651,1.58927149,-0.60708651,1.58927150
2.04000000,-0.59107344,1.61323549,-0.59107344,1.61323550
2.05000000,-0.57482395,1.63655422,-0.57482395,1.63655422
2.06000000,-0.55834454,1.65921834,-0.55834453,1.65921835
2.07000000,-0.54164180,1.68121880,-0.54164179,1.68121881
2.08000000,-0.52472240,1.70254680,-0.52472240,1.70254680
2.09000000,-0.50759313,1.72319379,-0.50759313,1.72319380
2.10000000,-0.49026083,1.74315154,-0.49026082,1.74315154
2.11000000,-0.47273242,1.76241205,-0.47273242,1.76241205
2.12000000,-0.45501494,1.78096761,-0.45501493,1.78096762
2.13000000,-0.43711545,1.79881081,-0.43711544,1.79881082
2.14000000,-0.41904112,1.81593452,-0.41904111,1.81593452
2.15000000,-0.40079918,1.83233187,-0.40079917,1.83233187
2.16000000,-0.38239692,1.84799631,-0.38239692,1.84799632
2.17000000,-0.36384172,1.86292158,-0.36384171,1.86292159
2.18000000,-0.34514098,1.87710171,-0.34514097,1.87710171
2.19000000,-0.32630218,1.89053102,-0.32630218,1.89053102
2.20000000,-0.30733288,1.90320414,-0.30733287,1.90320415
2.21000000,-0.28824064,1.91511601,-0.28824063,1.91511601
2.22000000,-0.26903311,1.92626186,-0.26903310,1.92626186
2.23000000,-0.24971797,1.93663723,-0.24971796,1.93663723
2.24000000,-0.23030295,1.94623796,-0.23030294,1.94623797
2.25000000,-0.21079581,1.95506023,-0.21079580,1.95506024
2.26000000,-0.19120435,1.96310050,-0.19120434,1.96310051
2.27000000,-0.17153641,1.97035556,-0.17153641,1.97035556
2.28000000,-0.15179986,1.97682250,-0.15179986,1.97682250
2.29000000,-0.13200260,1.98249874,-0.13200259,1.98249874
2.30000000,-0.11215253,1.98738201,-0.11215253,1.98738201
2.31000000,-0.09225761,1.99147034,-0.09225760,1.99147035
2.32000000,-0.07232578,1.99476212,-0.07232578,1.99476212
2.33000000,-0.05236503,1.99725602,-0.05236502,1.99725602
2.34000000,-0.03238332,1.99895105,-0.03238332,1.99895105
2.35000000,-0.01238867,1.99984651,-0.01238866,1.99984652
2.36000000,0.00761094,1.99994207,0.00761095,1.99994207
2.37000000,0.02760751,1.99923768,0.02760751,1.99923768
2.38000000,0.04759303,1.99773362,0.04759303,1.99773362
2.39000000,0.06755951,1.99543049,0.06755952,1.99543049
2.40000000,0.08749898,1.99232922,0.08749898,1.99232922
2.41000000,0.10740344,1.98843104,0.10740345,1.98843104
2.42000000,0.12726495,1.98373752,0.12726495,1.98373751
2.43000000,0.14707555,1.97825052,0.14707555,1.97825052
2.44000000,0.16682732,1.97197226,0.16682733,1.97197225
2.45000000,0.18651236,1.96490523,0.18651237,1.96490523
2.46000000,0.20612280,1.95705226,0.20612281,1.95705226
2.47000000,0.22565080,1.94841650,0.22565081,1.94841650
2.48000000,0.24508854,1.93900140,0.24508854,1.93900140
2.49000000,0.26442824,1.92881073,0.26442825,1.92881072
2.50000000,0.28366218,1.91784855,0.28366219,1.91784855
2.51000000,0.30278266,1.90611927,0.30278266,1.90611926
2.52000000,0.32178202,1.89362756,0.32178203,1.89362755
2.53000000,0.34065268,1.88037842,0.34065269,1.88037842
2.54000000,0.35938708,1.86637716,0.35938709,1.86637715
2.55000000,0.37797774,1.85162937,0.37797774,1.85162936
2.56000000,0.39641720,1.83614095,0.39641721,1.83614095
2.57000000,0.41469811,1.81991811,0.41469811,1.81991810
2.58000000,0.43281314,1.80296732,0.43281314,1.80296731
2.59000000,0.45075505,1.78529536,0.45075506,1.78529536
2.60000000,0.46851667,1.76690932,0.46851667,1.76690931
2.61000000,0.48609088,1.74781653,0.48609089,1.74781652
2.62000000,0.50347067,1.72802464,0.50347067,1.72802463
2.63000000,0.52064907,1.70754156,0.52064907,1.70754156
2.64000000,0.53761922,1.68637549,0.53761923,1.68637548
2.65000000,0.55437433,1.66453489,0.55437434,1.66453488
2.66000000,0.57090770,1.64202850,0.57090770,1.64202849
2.67000000,0.58721271,1.61886532,0.58721272,1.61886531
2.68000000,0.60328285,1.59505462,0.60328285,1.59505461
2.69000000,0.61911168,1.57060591,0.61911168,1.57060590
2.70000000,0.63469287,1.54552898,0.63469288,1.54552898
2.71000000,0.65002020,1.51983387,0.65002020,1.51983386
2.72000000,0.66508752,1.49353084,0.66508753,1.49353083
2.73000000,0.67988882,1.46663041,0.67988883,1.46663040
2.74000000,0.69441817,1.43914336,0.69441818,1.43914335
2.75000000,0.70866977,1.41108066,0.70866977,1.41108065
2.76000000,0.72263791,1.38245355,0.72263791,1.38245354
2.77000000,0.73631700,1.35327348,0.73631700,1.35327347
2.78000000,0.74970157,1.32355212,0.74970158,1.32355211
2.79000000,0.76278627,1.29330136,0.76278628,1.29330134
2.80000000,0.77556587,1.26253329,0.77556588,1.26253328
2.81000000,0.78803526,1.23126022,0.78803526,1.23126021
2.82000000,0.80018944,1.19949467,0.80018944,1.19949466
2.83000000,0.81202355,1.16724933,0.81202356,1.16724932
2.84000000,0.82353287,1.13453712,0.82353287,1.13453710
2.85000000,0.83471278,1.10137110,0.83471278,1.10137109
2.86000000,0.84555882,1.06776455,0.84555882,1.06776453
2.87000000,0.85606665,1.03373090,0.85606665,1.03373089
2.88000000,0.86623206,0.99928378,0.86623206,0.99928377
2.89000000,0.87605099,0.96443696,0.87605099,0.96443694
2.90000000,0.88551951,0.92920437,0.88551952,0.92920436
2.91000000,0.89463384,0.89360012,0.89463384,0.89360010
2.92000000,0.90339032,0.85763844,0.90339033,0.85763842
2.93000000,0.91178546,0.82133371,0.91178547,0.82133370
2.94000000,0.91981590,0.78470046,0.91981591,0.78470045
2.95000000,0.92747843,0.74775334,0.92747843,0.74775333
2.96000000,0.93476997,0.71050713,0.93476998,0.71050712
2.97000000,0.94168762,0.67297673,0.94168763,0.67297672
2.98000000,0.94822861,0.63517715,0.94822861,0.63517713
2.99000000,0.95439032,0.59712350,0.95439032,0.59712348
3.00000000,0.96017028,0.55883101,0.96017029,0.55883100
3.01000000,0.96556619,0.52031500,0.96556620,0.52031498
3.02000000,0.97057589,0.48159087,0.97057589,0.48159085
3.03000000,0.97519737,0.44267410,0.97519737,0.44267409
3.04000000,0.97942878,0.40358028,0.97942878,0.40358026
3.05000000,0.98326844,0.36432502,0.98326844,0.36432501
3.06000000,0.98671480,0.32492405,0.98671480,0.32492403
3.07000000,0.98976648,0.28539310,0.98976649,0.28539309
3.08000000,0.99242228,0.24574801,0.99242228,0.24574799
3.09000000,0.99468112,0.20600461,0.99468112,0.20600460
3.10000000,0.99654210,0.16617882,0.99654210,0.16617881
3.11000000,0.99800447,0.12628656,0.99800447,0.12628654
3.12000000,0.99906766,0.08634379,0.99906766,0.08634377
3.13000000,0.99973123,0.04636648,0.99973123,0.04636646
3.14000000,0.99999493,0.00637062,0.99999493,0.00637060
3.15000000,0.99985864,-0.03362778,0.99985864,-0.03362780
3.16000000,0.99932242,-0.07361274,0.99932242,-0.07361275
3.17000000,0.99838648,-0.11356825,0.99838648,-0.11356826
3.18000000,0.99705120,-0.15347833,0.99705120,-0.15347835
3.19000000,0.99531712,-0.19332703,0.99531712,-0.19332704
3.20000000,0.99318492,-0.23309839,0.99318492,-0.23309841
3.21000000,0.99065546,-0.27277652,0.99065546,-0.27277654
3.22000000,0.98772975,-0.31234555,0.98772975,-0.31234556
3.23000000,0.98440897,-0.35178964,0.98440896,-0.35178965
3.24000000,0.98069443,-0.39109301,0.98069443,-0.39109303
