time,numerical_0,exact_0
2.46000000,0.00729913,0.00729913
2.47000000,0.00715460,0.00715460
2.48000000,0.00701293,0.00701293
2.49000000,0.00687406,0.00687406
2.50000000,0.00673795,0.00673795
2.51000000,0.00660453,0.00660453
2.52000000,0.00647375,0.00647375
2.53000000,0.00634556,0.00634556
2.54000000,0.00621991,0.00621991
2.55000000,0.00609675,0.00609675
2.56000000,0.00597602,0.00597602
2.57000000,0.00585769,0.00585769
2.58000000,0.00574170,0.00574170
2.59000000,0.00562801,0.00562801
2.60000000,0.00551656,0.00551656
2.61000000,0.00540733,0.00540733
2.62000000,0.00530026,0.00530026
2.63000000,0.00519530,0.00519530
2.64000000,0.00509243,0.00509243
2.65000000,0.00499159,0.00499159
2.66000000,0.00489275,0.00489275
2.67000000,0.00479587,0.00479587
2.68000000,0.00470091,0.00470091
2.69000000,0.00460782,0.00460782
2.70000000,0.00451658,0.00451658
2.71000000,0.00442715,0.00442715
2.72000000,0.00433948,0.00433948
2.73000000,0.00425356,0.00425356
2.74000000,0.00416933,0.00416933
2.75000000,0.00408677,0.00408677
2.76000000,0.00400585,0.00400585
2.77000000,0.00392653,0.00392653
2.78000000,0.00384878,0.00384878
2.79000000,0.00377257,0.00377257
2.80000000,0.00369786,0.00369786
2.81000000,0.00362464,0.00362464
2.82000000,0.00355287,0.00355287
2.83000000,0.00348252,0.00348252
2.84000000,0.00341356,0.00341356
2.85000000,0.00334597,0.00334597
2.86000000,0.00327971,0.00327971
2.87000000,0.00321477,0.00321477
2.88000000,0.00315111,0.00315111
2.89000000,0.00308872,0.00308872
2.90000000,0.00302755,0.00302755
2.91000000,0.00296761,0.00296761
2.92000000,0.00290884,0.00290884
2.93000000,0.00285124,0.00285124
2.94000000,0.00279479,0.00279479
2.95000000,0.00273944,0.00273944
2.96000000,0.00268520,0.00268520
2.97000000,0.00263203,0.00263203
2.98000000,0.00257991,0.00257991
2.99000000,0.00252883,0.00252883
3.00000000,0.00247875,0.00247875
