t,true_x,true_y,kf_x,kf_y,ekf_x,ekf_y,gps_x,gps_y,gps_valid
2.04,7.24932,5.8462,6.17563,6.3344,9.16337,4.93184,0,0,0
2.06,7.34859,5.83416,6.24738,6.39054,9.33642,4.89756,0,0,0
2.08,7.44762,5.82028,6.31914,6.44667,9.50871,4.86013,0,0,0
2.1,7.54637,5.80454,6.39089,6.50281,9.68014,4.81953,0,0,0
2.12,7.64481,5.78694,6.46264,6.55895,9.85073,4.77575,0,0,0
2.14,7.74289,5.76747,6.5344,6.61508,10.0204,4.72876,0,0,0
2.16,7.84059,5.74613,6.60615,6.67122,10.1891,4.6786,0,0,0
2.18,7.93785,5.72292,6.67791,6.72736,10.3568,4.62516,0,0,0
2.2,8.03466,5.69786,6.68123,7.88003,8.62773,7.84557,6.45929,11.4362,1
2.22,8.13098,5.67098,6.75218,7.94905,8.72637,7.87382,0,0,0
2.24,8.22677,5.64228,6.82313,8.01807,8.82536,7.90017,0,0,0
2.26,8.322,5.61176,6.89408,8.0871,8.9249,7.92465,0,0,0
2.28,8.41662,5.57941,6.96503,8.15612,9.02484,7.94722,0,0,0
2.3,8.5106,5.54525,7.03598,8.22514,9.12512,7.96784,0,0,0
2.32,8.60391,5.5093,7.10693,8.29416,9.22576,7.98647,0,0,0
2.34,8.69653,5.47159,7.17788,8.36319,9.32647,8.00315,0,0,0
2.36,8.78841,5.43213,7.24883,8.43221,9.42738,8.01792,0,0,0
2.38,8.87953,5.39093,7.31978,8.50123,9.52856,8.03079,0,0,0
2.4,8.96985,5.34801,6.36213,8.60134,6.45181,8.25597,2.88969,8.70628,1
2.42,9.05935,5.30341,6.42167,8.67071,6.45172,8.25595,0,0,0
2.44,9.148,5.25714,6.48121,8.74008,6.45158,8.25594,0,0,0
2.46,9.23576,5.2092,6.54075,8.80944,6.45145,8.25593,0,0,0
2.48,9.32261,5.15964,6.60029,8.87881,6.45137,8.25592,0,0,0
2.5,9.40854,5.10848,6.65983,8.94818,6.45148,8.25593,0,0,0
2.52,9.4935,5.05574,6.71938,9.01755,6.45162,8.25593,0,0,0
2.54,9.57746,5.00143,6.77892,9.08691,6.45192,8.25594,0,0,0
2.56,9.66041,4.94559,6.83846,9.15628,6.45216,8.25594,0,0,0
2.58,9.74233,4.88824,6.898,9.22565,6.45212,8.25594,0,0,0
2.6,9.82319,4.82941,8.10716,7.57852,9.10265,6.32353,12.1608,1.52611,1
2.62,9.90296,4.7691,8.17876,7.62989,9.17843,6.28708,0,0,0
2.64,9.98163,4.70736,8.25036,7.68125,9.25347,6.24926,0,0,0
2.66,10.0592,4.64423,8.32196,7.73262,9.32787,6.21008,0,0,0
2.68,10.1356,4.57971,8.39356,7.78398,9.4016,6.16957,0,0,0
2.7,10.2108,4.51383,8.46516,7.83535,9.47453,6.12778,0,0,0
2.72,10.2849,4.44662,8.53675,7.88671,9.54682,6.08462,0,0,0
2.74,10.3577,4.37813,8.60835,7.93808,9.61825,6.04025,0,0,0
2.76,10.4293,4.30836,8.67995,7.98944,9.68882,5.99466,0,0,0
2.78,10.4997,4.23734,8.75155,8.04081,9.75855,5.94785,0,0,0
2.8,10.5689,4.16511,9.91851,7.49342,11.7351,5.58813,13.9596,5.28446,1
2.82,10.6368,4.09169,10.001,7.53883,11.8559,5.50472,0,0,0
2.84,10.7034,4.01713,10.0835,7.58424,11.9751,5.41927,0,0,0
2.86,10.7688,3.94142,10.166,7.62965,12.0929,5.33179,0,0,0
2.88,10.8328,3.86461,10.2485,7.67506,12.2092,5.24232,0,0,0
2.9,10.8955,3.78675,10.331,7.72048,12.3238,5.15104,0,0,0
2.92,10.957,3.70784,10.4134,7.76589,12.4367,5.05795,0,0,0
2.94,11.0171,3.6279,10.4959,7.8113,12.5481,4.96304,0,0,0
2.96,11.0758,3.54697,10.5784,7.85671,12.6577,4.86638,0,0,0
2.98,11.1332,3.46508,10.6609,7.90212,12.7657,4.76788,0,0,0
3,11.1892,3.38227,10.5966,6.29359,11.7142,2.93099,10.0298,-0.0940448,1
3.02,11.2439,3.29854,10.6777,6.32336,11.7562,2.79617,0,0,0
3.04,11.2972,3.21394,10.7588,6.35314,11.7961,2.66053,0,0,0
3.06,11.3492,3.12849,10.8399,6.38291,11.8337,2.52419,0,0,0
3.08,11.3998,3.04223,10.921,6.41268,11.8691,2.38737,0,0,0
3.1,11.449,2.95518,11.0021,6.44245,11.9024,2.24992,0,0,0
3.12,11.4968,2.86736,11.0833,6.47223,11.9335,2.11192,0,0,0
3.14,11.5432,2.7788,11.1644,6.502,11.9624,1.97348,0,0,0
3.16,11.5883,2.68951,11.2455,6.53177,11.9892,1.83445,0,0,0
3.18,11.6319,2.59954,11.3266,6.56154,12.0138,1.69503,0,0,0
3.2,11.6742,2.50891,11.7974,5.36237,12.6225,1.049,13.3725,0.395548,1
3.22,11.715,2.41764,11.882,5.38106,12.65,0.883663,0,0,0
3.24,11.7545,2.32576,11.9666,5.39974,12.675,0.718035,0,0,0
3.26,11.7926,2.2333,12.0512,5.41843,12.6974,0.552266,0,0,0
3.28,11.8292,2.14026,12.1359,5.43712,12.7173,0.385934,0,0,0
3.3,11.8645,2.04668,12.2205,5.4558,12.7347,0.21932,0,0,0
3.32,11.8983,1.95258,12.3051,5.47449,12.7496,0.0524256,0,0,0
3.34,11.9308,1.85798,12.3897,5.49317,12.762,-0.114624,0,0,0
3.36,11.9618,1.76293,12.4743,5.51186,12.7719,-0.281897,0,0,0
3.38,11.9915,1.66743,12.559,5.53055,12.7793,-0.44952,0,0,0
3.4,12.0197,1.57151,11.7331,4.58524,10.605,-0.083636,7.88591,0.512156,1
3.42,12.0466,1.47519,11.8098,4.5956,10.5625,-0.19818,0,0,0
3.44,12.0721,1.37849,11.8866,4.60596,10.5183,-0.312035,0,0,0
3.46,12.0962,1.28143,11.9633,4.61632,10.4725,-0.425394,0,0,0
3.48,12.1188,1.18404,12.0401,4.62668,10.4251,-0.538111,0,0,0
3.5,12.1401,1.08633,12.1168,4.63705,10.3761,-0.649996,0,0,0
3.52,12.16,0.988326,12.1936,4.64741,10.3254,-0.761303,0,0,0
3.54,12.1785,0.89005,12.2703,4.65777,10.2731,-0.872004,0,0,0
3.56,12.1956,0.791522,12.3471,4.66813,10.2192,-0.981985,0,0,0
3.58,12.2113,0.692761,12.4238,4.67849,10.1638,-1.09102,0,0,0
3.6,12.2256,0.593788,12.1939,3.96902,10.4135,-0.306203,10.8412,0.79376,1
3.62,12.2384,0.494622,12.2681,3.97341,10.3755,-0.389612,0,0,0
3.64,12.2499,0.39528,12.3423,3.97779,10.3362,-0.472491,0,0,0
3.66,12.2599,0.295783,12.4166,3.98218,10.2958,-0.554839,0,0,0
3.68,12.2685,0.196153,12.4908,3.98657,10.2541,-0.636729,0,0,0
3.7,12.2756,0.0964105,12.565,3.99096,10.2113,-0.717905,0,0,0
3.72,12.2814,-0.00342417,12.6392,3.99535,10.1673,-0.798421,0,0,0
3.74,12.2857,-0.103331,12.7134,3.99974,10.1222,-0.878358,0,0,0
3.76,12.2885,-0.20329,12.7876,4.00413,10.0759,-0.957597,0,0,0
3.78,12.2899,-0.30328,12.8618,4.00852,10.0285,-1.0361,0,0,0
3.8,12.2898,-0.403279,12.7261,3.86757,10.7621,0.892266,11.7609,3.1994,1
3.82,12.2882,-0.503265,12.7986,3.8708,10.7527,0.875106,0,0,0
3.84,12.2851,-0.603217,12.8712,3.87403,10.7432,0.858105,0,0,0
3.86,12.2805,-0.70311,12.9437,3.87725,10.7334,0.841315,0,0,0
3.88,12.2744,-0.802921,13.0162,3.88048,10.7234,0.824839,0,0,0
3.9,12.2667,-0.902626,13.0887,3.88371,10.7132,0.808504,0,0,0
3.92,12.2574,-1.0022,13.1613,3.88694,10.7028,0.792526,0,0,0
3.94,12.2466,-1.10161,13.2338,3.89016,10.6924,0.77685,0,0,0
3.96,12.2342,-1.20083,13.3063,3.89339,10.6817,0.76144,0,0,0
3.98,12.2202,-1.29984,13.3789,3.89662,10.6708,0.746281,0,0,0
4,12.2045,-1.3986,13.5981,2.8945,11.5867,-0.170206,14.2997,-1.91349,1
4.02,12.1871,-1.49708,13.6718,2.88995,11.5722,-0.204552,0,0,0
4.04,12.168,-1.59524,13.7454,2.88541,11.5572,-0.238545,0,0,0
4.06,12.1472,-1.69305,13.8191,2.88086,11.5416,-0.272197,0,0,0
4.08,12.1247,-1.79048,13.8928,2.87631,11.5254,-0.305503,0,0,0
4.1,12.1003,-1.88747,13.9664,2.87177,11.5086,-0.338465,0,0,0
4.12,12.0742,-1.98399,14.0401,2.86722,11.4912,-0.371204,0,0,0
4.14,12.0463,-2.08,14.1138,2.86267,11.4733,-0.403478,0,0,0
4.16,12.0165,-2.17546,14.1874,2.85813,11.4548,-0.435321,0,0,0
4.18,11.9848,-2.27032,14.2611,2.85358,11.4358,-0.466722,0,0,0
4.2,11.9513,-2.36453,13.4789,2.57281,10.9404,0.0536773,9.22973,1.20134,1
4.22,11.9159,-2.45806,13.5462,2.56619,10.9227,0.0344977,0,0,0
4.24,11.8786,-2.55084,13.6134,2.55957,10.9046,0.0156942,0,0,0
4.26,11.8394,-2.64284,13.6807,2.55295,10.886,-0.00283796,0,0,0
4.28,11.7983,-2.73401,13.7479,2.54633,10.867,-0.0210002,0,0,0
4.3,11.7554,-2.82432,13.8152,2.53971,10.8478,-0.0386576,0,0,0
4.32,11.7106,-2.9137,13.8824,2.53309,10.8283,-0.0558291,0,0,0
4.34,11.6638,-3.00211,13.9496,2.52647,10.8084,-0.0726978,0,0,0
4.36,11.6152,-3.08949,14.0169,2.51985,10.7881,-0.089114,0,0,0
4.38,11.5646,-3.17577,14.0841,2.51323,10.7674,-0.105036,0,0,0
4.4,11.5122,-3.26094,14.1054,2.86478,12.2431,2.14237,13.8688,4.70709,1
4.42,11.458,-3.34496,14.1723,2.86077,12.2939,2.17787,0,0,0
4.44,11.402,-3.42779,14.2392,2.85677,12.3455,2.2123,0,0,0
4.46,11.3442,-3.50937,14.3061,2.85277,12.3979,2.24566,0,0,0
4.48,11.2846,-3.58966,14.373,2.84876,12.4509,2.27776,0,0,0
4.5,11.2232,-3.6686,14.4399,2.84476,12.5045,2.30867,0,0,0
4.52,11.16,-3.74615,14.5068,2.84075,12.559,2.33845,0,0,0
4.54,11.0952,-3.82228,14.5738,2.83675,12.6141,2.36696,0,0,0
4.56,11.0287,-3.89696,14.6407,2.83275,12.6699,2.39433,0,0,0
4.58,10.9606,-3.97014,14.7076,2.82874,12.7262,2.42037,0,0,0
4.6,10.8908,-4.04177,14.2849,2.51748,12.1942,1.7885,11.6812,0.883548,1
4.62,10.8194,-4.11182,14.3483,2.51128,12.2259,1.80098,0,0,0
4.64,10.7465,-4.18028,14.4117,2.50509,12.2578,1.81275,0,0,0
4.66,10.6721,-4.24709,14.4751,2.49889,12.2902,1.82385,0,0,0
4.68,10.5963,-4.31224,14.5385,2.4927,12.3227,1.83423,0,0,0
4.7,10.519,-4.37569,14.602,2.4865,12.3556,1.8439,0,0,0
4.72,10.4403,-4.43742,14.6654,2.48031,12.3888,1.8529,0,0,0
4.74,10.3603,-4.49738,14.7288,2.47411,12.4222,1.86114,0,0,0
4.76,10.279,-4.55558,14.7922,2.46792,12.4559,1.86868,0,0,0
4.78,10.1964,-4.612,14.8556,2.46172,12.4896,1.87544,0,0,0
4.8,10.1126,-4.66661,14.3911,1.39715,11.2304,0.216943,11.4951,-4.40884,1
4.82,10.0277,-4.71939,14.4508,1.38356,11.2104,0.215866,0,0,0
4.84,9.94163,-4.7703,14.5106,1.36998,11.1906,0.215236,0,0,0
4.86,9.85448,-4.81935,14.5703,1.35639,11.1709,0.215031,0,0,0
4.88,9.76631,-4.86653,14.63,1.3428,11.1511,0.215259,0,0,0
4.9,9.67716,-4.91182,14.6898,1.32922,11.1312,0.215912,0,0,0
4.92,9.58705,-4.95518,14.7495,1.31563,11.1117,0.216977,0,0,0
4.94,9.49605,-4.99662,14.8092,1.30205,11.0921,0.218473,0,0,0
4.96,9.40418,-5.03612,14.869,1.28846,11.0725,0.220387,0,0,0
4.98,9.31151,-5.07369,14.9287,1.27488,11.0528,0.222736,0,0,0
5,9.21807,-5.10931,13.4388,0.628517,8.01521,-0.909067,4.6882,-2.94481,1
5.02,9.12392,-5.143,13.4879,0.610593,7.8901,-0.894986,0,0,0
5.04,9.02909,-5.17475,13.537,0.592668,7.76533,-0.878343,0,0,0
5.06,8.93364,-5.20457,13.5862,0.574744,7.64088,-0.85914,0,0,0
5.08,8.83761,-5.23245,13.6353,0.556819,7.51685,-0.837413,0,0,0
5.1,8.74103,-5.25837,13.6844,0.538895,7.39333,-0.813191,0,0,0
5.12,8.64394,-5.28232,13.7335,0.52097,7.27029,-0.786466,0,0,0
5.14,8.5464,-5.30433,13.7826,0.503045,7.14789,-0.757333,0,0,0
5.16,8.44843,-5.32439,13.8317,0.485121,7.02625,-0.725747,0,0,0
5.18,8.35009,-5.34252,13.8808,0.467196,6.90526,-0.691779,0,0,0
5.2,8.25141,-5.35872,12.7229,-0.631156,6.02273,-2.17065,5.72115,-6.8987,1
5.22,8.15244,-5.37301,12.7639,-0.656375,5.89178,-2.2074,0,0,0
5.24,8.05321,-5.3854,12.8048,-0.681594,5.76018,-2.24157,0,0,0
5.26,7.95377,-5.39591,12.8458,-0.706813,5.62807,-2.27322,0,0,0
5.28,7.85414,-5.40454,12.8867,-0.732032,5.49525,-2.30237,0,0,0
5.3,7.75437,-5.41131,12.9277,-0.757251,5.36187,-2.32904,0,0,0
5.32,7.6545,-5.41625,12.9686,-0.78247,5.22819,-2.35322,0,0,0
5.34,7.55454,-5.41935,13.0096,-0.807689,5.094,-2.37493,0,0,0
5.36,7.45455,-5.42065,13.0505,-0.832908,4.95949,-2.39409,0,0,0
5.38,7.35456,-5.42017,13.0915,-0.858127,4.82467,-2.41083,0,0,0
5.4,7.25458,-5.41791,12.2675,-1.65499,5.77299,-3.88985,7.12397,-6.24381,1
5.42,7.15467,-5.4139,12.3027,-1.68535,5.69146,-3.94863,0,0,0
5.44,7.05483,-5.40816,12.3379,-1.71571,5.60885,-4.00598,0,0,0
5.46,6.95511,-5.40071,12.3731,-1.74607,5.52523,-4.06195,0,0,0
5.48,6.85553,-5.39157,12.4083,-1.77643,5.4407,-4.11642,0,0,0
5.5,6.75612,-5.38077,12.4435,-1.80679,5.35524,-4.16947,0,0,0
5.52,6.6569,-5.36832,12.4787,-1.83715,5.26902,-4.22101,0,0,0
5.54,6.55789,-5.35426,12.5139,-1.86751,5.18191,-4.27115,0,0,0
5.56,6.45913,-5.33859,12.5491,-1.89787,5.09408,-4.31981,0,0,0
5.58,6.36062,-5.32135,12.5843,-1.92823,5.00554,-4.36703,0,0,0
5.6,6.26241,-5.30256,11.0602,-2.76757,3.32312,-5.84355,1.57321,-7.68946,1
5.62,6.16449,-5.28225,11.0851,-2.80327,3.20495,-5.95494,0,0,0
5.64,6.0669,-5.26043,11.11,-2.83896,3.08503,-6.06451,0,0,0
5.66,5.96965,-5.23714,11.1349,-2.87465,2.96352,-6.17221,0,0,0
5.68,5.87277,-5.21239,11.1598,-2.91034,2.84054,-6.27795,0,0,0
5.7,5.77625,-5.18622,11.1847,-2.94604,2.71601,-6.38186,0,0,0
5.72,5.68013,-5.15863,11.2096,-2.98173,2.58993,-6.48396,0,0,0
5.74,5.58443,-5.12964,11.2346,-3.01742,2.46233,-6.58417,0,0,0
5.76,5.48915,-5.09928,11.2595,-3.05311,2.33342,-6.68248,0,0,0
5.78,5.39431,-5.06757,11.2844,-3.08881,2.20317,-6.77892,0,0,0
5.8,5.29992,-5.03455,10.8632,-3.10741,4.86517,-5.07265,8.09168,-3.00125,1
5.82,5.20599,-5.00024,10.8852,-3.14299,4.81818,-5.09824,0,0,0
5.84,5.11254,-4.96467,10.9072,-3.17857,4.77078,-5.12323,0,0,0
5.86,5.01956,-4.92786,10.9292,-3.21415,4.72326,-5.14746,0,0,0
5.88,4.92707,-4.88984,10.9512,-3.24973,4.67541,-5.17108,0,0,0
5.9,4.83507,-4.85064,10.9732,-3.28531,4.62723,-5.1941,0,0,0
5.92,4.74358,-4.81028,10.9952,-3.32089,4.57875,-5.21654,0,0,0
5.94,4.65259,-4.76879,11.0172,-3.35647,4.52998,-5.23835,0,0,0
5.96,4.56212,-4.7262,11.0392,-3.39206,4.48096,-5.25957,0,0,0
5.98,4.47216,-4.68252,11.0612,-3.42764,4.43169,-5.28017,0,0,0
6,4.38272,-4.6378,10.4551,-3.55239,5.38202,-4.75148,6.47804,-4.11699,1
6.02,4.2938,-4.59205,10.473,-3.58855,5.36663,-4.75723,0,0,0
6.04,4.2054,-4.54529,10.4909,-3.62471,5.35117,-4.76281,0,0,0
6.06,4.11753,-4.49755,10.5088,-3.66087,5.3357,-4.7682,0,0,0
