time,velocity_kph,target_kph,command
4.2200,59.7842,60.0000,0.0388
4.2300,59.7844,60.0000,0.0389
4.2400,59.7845,60.0000,0.0389
4.2500,59.7847,60.0000,0.0389
4.2600,59.7849,60.0000,0.0389
4.2700,59.7850,60.0000,0.0389
4.2800,59.7852,60.0000,0.0390
4.2900,59.7853,60.0000,0.0390
4.3000,59.7855,60.0000,0.0390
4.3100,59.7856,60.0000,0.0390
4.3200,59.7858,60.0000,0.0390
4.3300,59.7860,60.0000,0.0391
4.3400,59.7861,60.0000,0.0391
4.3500,59.7863,60.0000,0.0391
4.3600,59.7865,60.0000,0.0391
4.3700,59.7866,60.0000,0.0391
4.3800,59.7868,60.0000,0.0391
4.3900,59.7870,60.0000,0.0392
4.4000,59.7872,60.0000,0.0392
4.4100,59.7873,60.0000,0.0392
4.4200,59.7875,60.0000,0.0392
4.4300,59.7877,60.0000,0.0392
4.4400,59.7879,60.0000,0.0392
4.4500,59.7880,60.0000,0.0393
4.4600,59.7882,60.0000,0.0393
4.4700,59.7884,60.0000,0.0393
4.4800,59.7886,60.0000,0.0393
4.4900,59.7888,60.0000,0.0393
4.5000,59.7890,60.0000,0.0393
4.5100,59.7891,60.0000,0.0394
4.5200,59.7893,60.0000,0.0394
4.5300,59.7895,60.0000,0.0394
4.5400,59.7897,60.0000,0.0394
4.5500,59.7899,60.0000,0.0394
4.5600,59.7901,60.0000,0.0394
4.5700,59.7903,60.0000,0.0395
4.5800,59.7905,60.0000,0.0395
4.5900,59.7907,60.0000,0.0395
4.6000,59.7909,60.0000,0.0395
4.6100,59.7911,60.0000,0.0395
4.6200,59.7913,60.0000,0.0395
4.6300,59.7915,60.0000,0.0396
4.6400,59.7917,60.0000,0.0396
4.6500,59.7919,60.0000,0.0396
4.6600,59.7921,60.0000,0.0396
4.6700,59.7923,60.0000,0.0396
4.6800,59.7925,60.0000,0.0396
4.6900,59.7927,60.0000,0.0396
4.7000,59.7929,60.0000,0.0397
4.7100,59.7931,60.0000,0.0397
4.7200,59.7933,60.0000,0.0397
4.7300,59.7935,60.0000,0.0397
4.7400,59.7937,60.0000,0.0397
4.7500,59.7939,60.0000,0.0397
4.7600,59.7942,60.0000,0.0397
4.7700,59.7944,60.0000,0.0398
4.7800,59.7946,60.0000,0.0398
4.7900,59.7948,60.0000,0.0398
4.8000,59.7950,60.0000,0.0398
4.8100,59.7952,60.0000,0.0398
4.8200,59.7955,60.0000,0.0398
4.8300,59.7957,60.0000,0.0398
4.8400,59.7959,60.0000,0.0398
4.8500,59.7961,60.0000,0.0399
4.8600,59.7963,60.0000,0.0399
4.8700,59.7966,60.0000,0.0399
4.8800,59.7968,60.0000,0.0399
4.8900,59.7970,60.0000,0.0399
4.9000,59.7972,60.0000,0.0399
4.9100,59.7975,60.0000,0.0399
4.9200,59.7977,60.0000,0.0399
4.9300,59.7979,60.0000,0.0400
4.9400,59.7981,60.0000,0.0400
4.9500,59.7984,60.0000,0.0400
4.9600,59.7986,60.0000,0.0400
4.9700,59.7988,60.0000,0.0400
4.9800,59.7991,60.0000,0.0400
4.9900,59.7993,60.0000,0.0400
5.0000,59.7995,60.0000,0.0400
5.0100,59.7998,60.0000,0.0401
5.0200,59.8000,60.0000,0.0401
5.0300,59.8002,60.0000,0.0401
5.0400,59.8005,60.0000,0.0401
5.0500,59.8007,60.0000,0.0401
5.0600,59.8010,60.0000,0.0401
5.0700,59.8012,60.0000,0.0401
5.0800,59.8014,60.0000,0.0401
5.0900,59.8017,60.0000,0.0401
5.1000,59.8019,60.0000,0.0402
5.1100,59.8022,60.0000,0.0402
5.1200,59.8024,60.0000,0.0402
5.1300,59.8027,60.0000,0.0402
5.1400,59.8029,60.0000,0.0402
5.1500,59.8031,60.0000,0.0402
5.1600,59.8034,60.0000,0.0402
5.1700,59.8036,60.0000,0.0402
5.1800,59.8039,60.0000,0.0402
5.1900,59.8041,60.0000,0.0402
5.2000,59.8044,60.0000,0.0403
5.2100,59.8046,60.0000,0.0403
5.2200,59.8049,60.0000,0.0403
5.2300,59.8051,60.0000,0.0403
5.2400,59.8054,60.0000,0.0403
5.2500,59.8056,60.0000,0.0403
5.2600,59.8059,60.0000,0.0403
5.2700,59.8061,60.0000,0.0403
5.2800,59.8064,60.0000,0.0403
5.2900,59.8067,60.0000,0.0403
5.3000,59.8069,60.0000,0.0403
5.3100,59.8072,60.0000,0.0404
5.3200,59.8074,60.0000,0.0404
5.3300,59.8077,60.0000,0.0404
5.3400,59.8079,60.0000,0.0404
5.3500,59.8082,60.0000,0.0404
5.3600,59.8085,60.0000,0.0404
5.3700,59.8087,60.0000,0.0404
5.3800,59.8090,60.0000,0.0404
5.3900,59.8092,60.0000,0.0404
5.4000,59.8095,60.0000,0.0404
5.4100,59.8098,60.0000,0.0404
5.4200,59.8100,60.0000,0.0405
5.4300,59.8103,60.0000,0.0405
5.4400,59.8105,60.0000,0.0405
5.4500,59.8108,60.0000,0.0405
5.4600,59.8111,60.0000,0.0405
5.4700,59.8113,60.0000,0.0405
5.4800,59.8116,60.0000,0.0405
5.4900,59.8119,60.0000,0.0405
5.5000,59.8121,60.0000,0.0405
5.5100,59.8124,60.0000,0.0405
5.5200,59.8127,60.0000,0.0405
5.5300,59.8129,60.0000,0.0405
5.5400,59.8132,60.0000,0.0405
5.5500,59.8135,60.0000,0.0406
5.5600,59.8138,60.0000,0.0406
5.5700,59.8140,60.0000,0.0406
5.5800,59.8143,60.0000,0.0406
5.5900,59.8146,60.0000,0.0406
5.6000,59.8148,60.0000,0.0406
5.6100,59.8151,60.0000,0.0406
5.6200,59.8154,60.0000,0.0406
5.6300,59.8157,60.0000,0.0406
5.6400,59.8159,60.0000,0.0406
5.6500,59.8162,60.0000,0.0406
5.6600,59.8165,60.0000,0.0406
5.6700,59.8168,60.0000,0.0406
5.6800,59.8170,60.0000,0.0406
5.6900,59.8173,60.0000,0.0406
5.7000,59.8176,60.0000,0.0407
5.7100,59.8179,60.0000,0.0407
5.7200,59.8181,60.0000,0.0407
5.7300,59.8184,60.0000,0.0407
5.7400,59.8187,60.0000,0.0407
5.7500,59.8190,60.0000,0.0407
5.7600,59.8193,60.0000,0.0407
5.7700,59.8195,60.0000,0.0407
5.7800,59.8198,60.0000,0.0407
5.7900,59.8201,60.0000,0.0407
5.8000,59.8204,60.0000,0.0407
5.8100,59.8207,60.0000,0.0407
5.8200,59.8209,60.0000,0.0407
5.8300,59.8212,60.0000,0.0407
5.8400,59.8215,60.0000,0.0407
5.8500,59.8218,60.0000,0.0407
5.8600,59.8221,60.0000,0.0407
5.8700,59.8223,60.0000,0.0407
5.8800,59.8226,60.0000,0.0408
5.8900,59.8229,60.0000,0.0408
5.9000,59.8232,60.0000,0.0408
5.9100,59.8235,60.0000,0.0408
5.9200,59.8238,60.0000,0.0408
5.9300,59.8240,60.0000,0.0408
5.9400,59.8243,60.0000,0.0408
5.9500,59.8246,60.0000,0.0408
5.9600,59.8249,60.0000,0.0408
5.9700,59.8252,60.0000,0.0408
5.9800,59.8255,60.0000,0.0408
5.9900,59.8258,60.0000,0.0408
6.0000,59.8261,60.0000,0.0408
6.0100,59.8263,60.0000,0.0408
6.0200,59.8266,60.0000,0.0408
6.0300,59.8269,60.0000,0.0408
6.0400,59.8272,60.0000,0.0408
6.0500,59.8275,60.0000,0.0408
6.0600,59.8278,60.0000,0.0408
6.0700,59.8281,60.0000,0.0408
6.0800,59.8284,60.0000,0.0408
6.0900,59.8286,60.0000,0.0408
6.1000,59.8289,60.0000,0.0408
6.1100,59.8292,60.0000,0.0409
6.1200,59.8295,60.0000,0.0409
6.1300,59.8298,60.0000,0.0409
6.1400,59.8301,60.0000,0.0409
6.1500,59.8304,60.0000,0.0409
6.1600,59.8307,60.0000,0.0409
6.1700,59.8310,60.0000,0.0409
6.1800,59.8313,60.0000,0.0409
6.1900,59.8315,60.0000,0.0409
6.2000,59.8318,60.0000,0.0409
6.2100,59.8321,60.0000,0.0409
6.2200,59.8324,60.0000,0.0409
6.2300,59.8327,60.0000,0.0409
6.2400,59.8330,60.0000,0.0409
6.2500,59.8333,60.0000,0.0409
6.2600,59.8336,60.0000,0.0409
6.2700,59.8339,60.0000,0.0409
6.2800,59.8342,60.0000,0.0409
6.2900,59.8345,60.0000,0.0409
6.3000,59.8348,60.0000,0.0409
6.3100,59.8351,60.0000,0.0409
6.3200,59.8354,60.0000,0.0409
6.3300,59.8357,60.0000,0.0409
6.3400,59.8359,60.0000,0.0409
6.3500,59.8362,60.0000,0.0409
6.3600,59.8365,60.0000,0.0409
6.3700,59.8368,60.0000,0.0409
6.3800,59.8371,60.0000,0.0409
6.3900,59.8374,60.0000,0.0409
6.4000,59.8377,60.0000,0.0409
6.4100,59.8380,60.0000,0.0409
6.4200,59.8383,60.0000,0.0409
6.4300,59.8386,60.0000,0.0409
6.4400,59.8389,60.0000,0.0409
6.4500,59.8392,60.0000,0.0409
6.4600,59.8395,60.0000,0.0409
6.4700,59.8398,60.0000,0.0409
6.4800,59.8401,60.0000,0.0409
6.4900,59.8404,60.0000,0.0409
6.5000,59.8407,60.0000,0.0410
6.5100,59.8410,60.0000,0.0410
6.5200,59.8413,60.0000,0.0410
6.5300,59.8416,60.0000,0.0410
6.5400,59.8419,60.0000,0.0410
6.5500,59.8421,60.0000,0.0410
6.5600,59.8424,60.0000,0.0410
6.5700,59.8427,60.0000,0.0410
6.5800,59.8430,60.0000,0.0410
6.5900,59.8433,60.0000,0.0410
6.6000,59.8436,60.0000,0.0410
6.6100,59.8439,60.0000,0.0410
6.6200,59.8442,60.0000,0.0410
6.6300,59.8445,60.0000,0.0410
6.6400,59.8448,60.0000,0.0410
6.6500,59.8451,60.0000,0.0410
6.6600,59.8454,60.0000,0.0410
6.6700,59.8457,60.0000,0.0410
6.6800,59.8460,60.0000,0.0410
6.6900,59.8463,60.0000,0.0410
6.7000,59.8466,60.0000,0.0410
6.7100,59.8469,60.0000,0.0410
6.7200,59.8472,60.0000,0.0410
6.7300,59.8475,60.0000,0.0410
6.7400,59.8478,60.0000,0.0410
6.7500,59.8481,60.0000,0.0410
6.7600,59.8484,60.0000,0.0410
6.7700,59.8487,60.0000,0.0410
6.7800,59.8490,60.0000,0.0410
6.7900,59.8493,60.0000,0.0410
6.8000,59.8496,60.0000,0.0410
6.8100,59.8499,60.0000,0.0410
6.8200,59.8502,60.0000,0.0410
6.8300,59.8505,60.0000,0.0410
6.8400,59.8508,60.0000,0.0410
6.8500,59.8511,60.0000,0.0410
6.8600,59.8514,60.0000,0.0410
6.8700,59.8517,60.0000,0.0410
6.8800,59.8520,60.0000,0.0410
6.8900,59.8522,60.0000,0.0410
6.9000,59.8525,60.0000,0.0410
6.9100,59.8528,60.0000,0.0410
6.9200,59.8531,60.0000,0.0410
6.9300,59.8534,60.0000,0.0410
6.9400,59.8537,60.0000,0.0410
6.9500,59.8540,60.0000,0.0410
6.9600,59.8543,60.0000,0.0410
