t,x,y,v,steer_deg,accel
8.74,35.148,15.9908,5.08017,-26.4209,3
8.76,35.1014,16.0818,5.14017,-26.4209,3
8.78,35.056,16.1747,5.20017,-30.023,3
8.8,35.0121,16.2696,5.26017,-30.023,3
8.82,34.9698,16.3666,5.32017,-30.023,3
8.84,34.9293,16.4656,5.38017,-30.023,3
8.86,34.8906,16.5667,5.44017,-30.023,3
8.88,34.8539,16.6697,5.50017,-30.023,3
8.9,34.8193,16.7748,5.56017,-30.023,3
8.92,34.7868,16.8818,5.62017,-30.023,3
8.94,34.7566,16.9906,5.68017,-30.023,3
8.96,34.7288,17.1014,5.74017,-30.023,3
8.98,34.7034,17.214,5.80017,-30.023,3
9,34.6806,17.3283,5.86017,-30.023,3
9.02,34.6604,17.4444,5.92017,-30.023,3
9.04,34.6431,17.5621,5.98017,-30.023,3
9.06,34.6286,17.6814,6.04017,-30.023,3
9.08,34.6171,17.8023,6.10017,-30.023,3
9.1,34.6086,17.9246,6.16017,-30.023,3
9.12,34.6034,18.0483,6.22017,-30.023,3
9.14,34.6014,18.1733,6.28017,-30.023,3
9.16,34.6028,18.2995,6.34017,-30.023,3
9.18,34.6076,18.4268,6.40017,-27.7283,3
9.2,34.6159,18.5551,6.46017,-27.7283,3
9.22,34.6275,18.6844,6.52017,-27.7283,2.91614
9.24,34.6425,18.8145,6.57849,-27.7283,2.79966
9.26,34.661,18.9453,6.63448,-24.3551,2.72708
9.28,34.6828,19.0768,6.68903,-24.3551,2.61816
9.3,34.7077,19.2087,6.74139,-24.3551,2.51359
9.32,34.7359,19.3411,6.79166,-24.3551,2.41319
9.34,34.7672,19.4737,6.83992,-24.0927,2.3168
9.36,34.8019,19.6066,6.88626,-24.0927,2.22426
9.38,34.8398,19.7394,6.93075,-24.0927,2.13542
9.4,34.881,19.8722,6.97345,-24.0927,2.05013
9.42,34.9255,20.0048,7.01446,-27.5235,1.85015
9.44,34.9736,20.137,7.05146,-27.5235,1.77622
9.46,35.0255,20.2685,7.08698,-27.5235,1.70527
9.48,35.0813,20.3992,7.12109,-27.5235,1.63716
9.5,35.141,20.5288,7.15383,-30.023,1.14595
9.52,35.2046,20.6572,7.17675,-30.023,1.10007
9.54,35.2724,20.784,7.19875,-30.023,1.05613
9.56,35.3443,20.909,7.21988,-30.023,1.01395
9.58,35.4202,21.0321,7.24015,-30.023,0.0202295
9.6,35.5,21.1529,7.24056,22.2944,0.0191718
9.62,35.5803,21.2734,7.24094,22.2944,0.0184058
9.64,35.658,21.3956,7.24131,22.2944,0.0176707
9.66,35.733,21.5195,7.24166,17.0434,-1.33052
9.68,35.8054,21.6446,7.21505,17.0434,-1.27773
9.7,35.8756,21.7704,7.1895,12.2862,-2.608
