t,x,y,v,theta,cte,steer_deg,accel
2.44,14.0478,7.78732,6.87914,-0.68069,2.29996,-30.023,2.23849
2.46,14.1538,7.69888,6.92391,-0.710233,2.20544,-30.023,2.14908
2.48,14.2577,7.60676,6.96689,-0.739964,2.11199,-30.023,2.06324
2.5,14.3595,7.511,7.00815,-0.769875,2.02001,-30.023,1.98083
2.52,14.4589,7.41166,7.04777,-0.799959,1.92805,-30.023,1.90171
2.54,14.5559,7.3088,7.0858,-0.830209,1.81437,-30.023,1.82575
2.56,14.6501,7.20249,7.12232,-0.860619,1.7015,-30.023,1.75283
2.58,14.7415,7.09281,7.15738,-0.891182,1.58993,-30.023,1.68281
2.6,14.83,6.97984,7.19103,-0.921892,1.48023,-30.023,1.6156
2.62,14.9153,6.86367,7.22334,-0.952744,1.37316,-30.023,1.55107
2.64,14.9974,6.7444,7.25437,-0.983731,1.26101,-30.023,1.48911
2.66,15.076,6.62212,7.28415,-1.01485,1.12764,-30.023,1.42964
2.68,15.1511,6.49695,7.31274,-1.04609,0.995032,-30.023,1.37253
2.7,15.2225,6.369,7.34019,-1.07745,0.863969,-30.023,1.31771
2.72,15.2901,6.2384,7.36655,-1.10893,0.735772,27.6837,1.26508
2.74,15.3577,6.10724,7.39185,-1.08025,0.61553,27.6837,1.21455
2.76,15.4294,5.97764,7.41614,-1.05148,0.512833,27.6837,1.16604
2.78,15.505,5.84975,7.43946,-1.02261,0.413327,29.0486,1.11946
2.8,15.5845,5.72379,7.46185,-0.991957,0.264342,29.0486,1.07475
2.82,15.6682,5.59996,7.48334,-0.961213,0.11491,29.0486,1.03182
2.84,15.7559,5.47842,7.50398,-0.930382,0.0356179,29.0486,0.990608
2.86,15.8475,5.35933,7.52379,-0.899469,0.185617,-30.023,0.951041
2.88,15.9393,5.23987,7.54281,-0.931716,0.336246,-30.023,0.913054
2.9,16.0275,5.1172,7.56107,-0.964043,0.433882,-29.6163,0.876585
2.92,16.1118,4.99147,7.57861,-0.995918,0.522556,30.023,0.841572
2.94,16.1963,4.86548,7.59544,-0.963441,0.635632,30.023,0.807958
2.96,16.2852,4.74205,7.6116,-0.930893,0.760004,30.023,0.775686
2.98,16.3781,4.62131,7.62711,-0.898277,0.890994,30.023,0.744703
3,16.4752,4.50344,7.642,-0.865596,1.02607,30.023,0.714958
3.02,16.5762,4.3886,7.6563,-0.832853,1.11989,30.023,0.686401
3.04,16.6812,4.27691,7.67003,-0.80005,1.22171,-28.2497,0.658985
3.06,16.7864,4.16515,7.68321,-0.830604,1.3335,-28.2497,0.632664
3.08,16.8884,4.05004,7.69586,-0.861209,1.45591,-28.2497,0.607394
3.1,16.987,3.93166,7.70801,-0.891863,1.58534,30.023,0.583133
3.12,17.0858,3.81321,7.71967,-0.858843,1.69103,30.023,0.559841
3.14,17.1887,3.69793,7.73087,-0.825774,1.80047,30.023,0.53748
3.16,17.2954,3.58595,7.74162,-0.792658,1.91295,30.023,0.516012
3.18,17.406,3.47743,7.75194,-0.759497,2.02787,30.023,0.495401
3.2,17.5203,3.37249,7.76185,-0.726292,2.14116,30.023,0.475614
3.22,17.6381,3.27129,7.77136,-0.693046,2.23387,-27.8529,0.456617
3.24,17.7562,3.17012,7.78049,-0.723483,2.33321,-27.8529,0.438378
3.26,17.8713,3.06529,7.78926,-0.753955,2.44192,-27.8529,0.420869
3.28,17.9833,2.95688,7.79768,-0.78446,2.55875,30.023,0.404058
3.3,18.0955,2.84851,7.80576,-0.751064,2.66766,30.023,0.387919
3.32,18.2115,2.74385,7.81352,-0.717634,2.76902,30.023,0.372425
3.34,18.3309,2.64303,7.82097,-0.684171,2.87158,30.023,0.357549
3.36,18.4539,2.54617,7.82812,-0.650677,2.97513,30.023,0.343268
3.38,18.58,2.4534,7.83498,-0.617153,3.07287,27.6758,0.329557
3.4,18.7093,2.36464,7.84157,-0.586702,3.15817,-30.023,0.316394
3.42,18.8384,2.2756,7.8479,-0.620282,3.24907,-30.023,0.303756
3.44,18.9646,2.1822,7.85398,-0.653889,3.349,-30.023,0.291624
3.46,19.0877,2.08454,7.85981,-0.687522,3.44715,-30.023,0.279976
3.48,19.2076,1.98272,7.86541,-0.721178,3.54627,25.1657,0.268793
3.5,19.3272,1.88045,7.87079,-0.693796,3.64991,25.1657,0.258057
3.52,19.4496,1.78142,7.87595,-0.666394,3.75421,25.1657,0.247749
3.54,19.5748,1.68573,7.8809,-0.638975,3.8445,22.8077,0.237854
3.56,19.7025,1.59327,7.88566,-0.614419,3.93407,22.8077,0.228353
