t,p6_x,p6_y,p6_v,p6_cte,p6_he,p6_ve,p6_steer_deg,p6_accel,p6_v_ref,p4_x,p4_y,p4_v,p4_cte,p4_he,p4_steer_deg
1.5,8.78701,8.40178,8,0.000454426,-0.00353979,0,-1.12165,-0,8,8.78416,8.40479,8,0.00459592,-0.00300294,-1.1642
1.52,8.90804,8.50642,8,9.9213e-05,-0.000410241,0,-3.20674,-0,8,8.90514,8.5095,8,0.00433145,0.00020269,-3.13341
1.54,9.02936,8.61074,8,0.000399811,-0.00249339,0,-2.0133,-0,8,9.02639,8.61389,8,0.00472992,-0.00188285,-2.01561
1.56,9.15085,8.71485,8,0.000434965,-0.00372829,0,-1.19381,-0,8,9.14782,8.71808,8,0.00485907,-0.00316396,-1.23847
1.58,9.27259,8.81868,8,0.000108189,-0.000452175,0,-3.41432,-0,8,9.2695,8.82198,8,0.0046275,0.000192606,-3.3368
1.6,9.39463,8.92215,8,0.000421264,-0.00266674,0,-2.14019,-0,8,9.39147,8.92553,8,0.00504356,-0.00202427,-2.14242
1.62,9.51685,9.02541,8,0.000452395,-0.00397647,0,-1.26612,-0,8,9.51362,9.02887,8,0.0051736,-0.00338252,-1.31301
1.64,9.63933,9.12836,8,0.000183945,-0.000561692,0,-3.64127,-0,8,9.63604,9.1319,8,0.00500516,0.000117492,-3.55919
1.66,9.76212,9.23093,8,0.000499176,-0.00291443,0,-2.27359,-0,8,9.75876,9.23455,8,0.00542888,-0.00223745,-2.27571
1.68,9.88511,9.33328,8,0.000515519,-0.00429778,0,-1.33727,-0,8,9.88168,9.33698,8,0.00554946,-0.0036718,-1.38655
1.7,10.0084,9.43529,8,0.000340011,-0.000753332,0,-3.88936,-0,8,10.0049,9.43907,8,0.0054791,-3.69302e-05,-3.80233
1.72,10.132,9.5369,8,0.000644817,-0.00325098,0,-2.41347,-0,8,10.1284,9.54077,8,0.00589837,-0.00253666,-2.41548
1.74,10.2558,9.63826,8,0.000633434,-0.0047057,0,-1.40623,-0,8,10.2521,9.64221,8,0.00599698,-0.00404505,-1.4581
1.76,10.3799,9.73927,8,0.000590785,-0.00104209,0,-4.16081,-0,8,10.3761,9.74331,8,0.00606501,-0.000285426,-4.06845
1.78,10.5043,9.83984,8,0.00087024,-0.00369159,0,-2.56001,-0,8,10.5005,9.84398,8,0.00646537,-0.00293689,-2.56191
1.8,10.6289,9.94015,8,0.000815908,-0.00521442,0,-1.47205,-0,8,10.6251,9.94438,8,0.00652726,-0.00451631,-1.52673
1.82,10.7539,10.0401,8,0.000951854,-0.00144401,0,-4.45814,-0,8,10.75,10.0444,8,0.00677982,-0.000643818,-4.36002
