t,kf_err,ekf_err,kf_P_trace,ekf_P_trace
7.2,5.05277,4.03413,2.77581,35.3229
7.22,5.13318,4.16988,2.80848,37.1236
7.24,5.21432,4.30559,2.84154,39.0074
7.26,5.29618,4.44146,2.87499,40.9769
7.28,5.37871,4.57735,2.90883,43.0335
7.3,5.4619,4.71317,2.94308,45.1789
7.32,5.54572,4.849,2.97772,47.4153
7.34,5.63014,4.98464,3.01276,49.7436
7.36,5.71513,5.1203,3.04821,52.1666
7.38,5.80069,5.25599,3.08407,54.6862
7.4,4.68624,4.535,2.75757,36.4158
7.42,4.76436,4.64143,2.79004,38.1609
7.44,4.84319,4.74787,2.82289,39.9598
7.46,4.92276,4.85443,2.85613,41.8146
7.48,5.00303,4.96138,2.88976,43.7279
7.5,5.08396,5.0685,2.9238,45.7008
7.52,5.16552,5.17582,2.95823,47.7352
7.54,5.24769,5.28311,2.99306,49.832
7.56,5.33044,5.39054,3.02829,51.9934
7.58,5.41374,5.49817,3.06393,54.2215
7.6,4.54647,3.9242,2.74206,36.144
7.62,4.62516,3.97773,2.77436,37.709
7.64,4.70441,4.03134,2.80704,39.3097
7.66,4.78419,4.08512,2.84012,40.9476
7.68,4.86445,4.13903,2.87358,42.6238
7.7,4.94518,4.19298,2.90745,44.3396
7.72,5.02636,4.24708,2.94171,46.0964
7.74,5.10795,4.30137,2.97637,47.8956
7.76,5.18993,4.35582,3.01143,49.7386
7.78,5.27228,4.41042,3.0469,51.6266
7.8,4.39537,3.98666,2.72894,35.4987
7.82,4.4759,4.02023,2.76111,36.9664
7.84,4.55668,4.05364,2.79366,38.4641
7.86,4.6377,4.08718,2.8266,39.9931
7.88,4.71894,4.12068,2.85994,41.5545
7.9,4.80037,4.15433,2.89367,43.1497
7.92,4.88197,4.18797,2.9278,44.7795
7.94,4.96372,4.22164,2.96232,46.4449
7.96,5.04562,4.25537,2.99725,48.1472
7.98,5.12763,4.28925,3.03259,49.8878
8,4.27195,2.94476,2.71792,35.094
8.02,4.34685,2.939,2.74998,36.507
8.04,4.42191,2.9334,2.78244,37.9478
8.06,4.49708,2.92778,2.81528,39.4171
8.08,4.57236,2.92219,2.84851,40.9159
8.1,4.64772,2.91659,2.88214,42.4452
8.12,4.72315,2.91112,2.91616,44.0061
8.14,4.79863,2.90552,2.95058,45.5993
8.16,4.87413,2.89982,2.98541,47.2256
8.18,4.94964,2.89405,3.02064,48.8862
8.2,4.69102,1.62056,2.70872,34.777
8.22,4.76125,1.61778,2.74071,36.0588
8.24,4.83158,1.62088,2.77309,37.3635
8.26,4.90199,1.62979,2.80585,38.6917
8.28,4.97245,1.64442,2.83901,40.044
8.3,5.04295,1.66462,2.87256,41.4212
8.32,5.11346,1.69028,2.9065,42.8241
8.34,5.18396,1.72121,2.94085,44.2537
8.36,5.25443,1.75718,2.97559,45.7108
8.38,5.32483,1.79794,3.01074,47.1962
8.4,5.08332,1.91532,2.70111,34.216
8.42,5.15201,2.03818,2.73304,35.4822
8.44,5.22052,2.16195,2.76536,36.7714
8.46,5.28882,2.28658,2.79807,38.084
8.48,5.35687,2.41197,2.83117,39.421
8.5,5.42464,2.53812,2.86466,40.7829
8.52,5.49209,2.66476,2.89855,42.1707
8.54,5.55916,2.79177,2.93283,43.5851
8.56,5.62583,2.91916,2.96752,45.0267
8.58,5.69204,3.04694,3.00261,46.4963
8.6,4.66474,0.391081,2.69486,33.6335
8.62,4.72271,0.417563,2.72675,34.9574
8.64,4.77997,0.446062,2.75903,36.3061
8.66,4.8365,0.476181,2.79169,37.6806
8.68,4.89224,0.507769,2.82475,39.0813
8.7,4.94714,0.540566,2.8582,40.509
8.72,5.00116,0.574178,2.89205,41.9646
8.74,5.05424,0.608522,2.92629,43.4487
8.76,5.10636,0.643478,2.96094,44.962
8.78,5.15748,0.679055,2.99599,46.5049
8.8,4.42565,0.827938,2.68976,33.81
8.82,4.47038,0.846804,2.72163,35.183
8.84,4.51408,0.866192,2.75388,36.5845
8.86,4.55674,0.886116,2.78652,38.0152
8.88,4.5983,0.906558,2.81955,39.4758
8.9,4.63874,0.927402,2.85297,40.967
8.92,4.67802,0.94863,2.88679,42.49
8.94,4.71614,0.970248,2.92101,44.0449
8.96,4.75306,0.992191,2.95563,45.6326
8.98,4.78878,1.01436,2.99065,47.2542
9,4.32285,1.40185,2.68566,34.2498
9.02,4.35513,1.4419,2.71751,35.6392
9.04,4.38633,1.48219,2.74974,37.0542
9.06,4.41644,1.52283,2.78236,38.4953
9.08,4.44546,1.56367,2.81537,39.9633
9.1,4.47338,1.60487,2.84878,41.4584
9.12,4.50018,1.64643,2.88258,42.9809
9.14,4.52587,1.68802,2.91678,44.5324
9.16,4.55046,1.72967,2.95138,46.1132
9.18,4.57396,1.77132,2.98638,47.7241
9.2,3.40757,2.27732,2.68238,34.3793
9.22,3.42032,2.3253,2.71422,35.9084
9.24,3.43213,2.37308,2.74644,37.4847
9.26,3.44304,2.42072,2.77905,39.1095
9.28,3.4531,2.46825,2.81205,40.7839
9.3,3.46233,2.5156,2.84545,42.509
9.32,3.47074,2.56269,2.87924,44.2853
9.34,3.47839,2.60949,2.91343,46.1139
9.36,3.48532,2.65607,2.94802,47.9956
9.38,3.49157,2.70246,2.98302,49.9319
9.4,3.22622,1.00766,2.67979,35.4759
9.42,3.22331,1.01383,2.71162,36.8484
9.44,3.21974,1.02122,2.74384,38.2497
9.46,3.21554,1.02969,2.77645,39.6807
9.48,3.2108,1.03929,2.80945,41.1425
9.5,3.20557,1.04997,2.84284,42.6361
9.52,3.19991,1.06148,2.87663,44.1618
9.54,3.19387,1.07391,2.91081,45.7208
9.56,3.18753,1.08739,2.9454,47.3142
9.58,3.18097,1.10183,2.98039,48.9434
9.6,2.90195,2.31067,2.67776,36.1391
9.62,2.88035,2.36764,2.7096,37.4492
9.64,2.85845,2.4254,2.74182,38.7921
9.66,2.83631,2.48376,2.77442,40.1686
9.68,2.81402,2.54255,2.80742,41.5797
9.7,2.7917,2.60201,2.84081,43.0269
9.72,2.76945,2.66215,2.8746,44.5115
9.74,2.74739,2.72275,2.90879,46.0344
9.76,2.72563,2.78368,2.94337,47.5962
9.78,2.70431,2.84523,2.97836,49.1988
9.8,2.15829,1.07407,2.6762,37.0157
9.82,2.14371,1.06548,2.70804,38.4421
9.84,2.13096,1.05716,2.74026,39.8974
9.86,2.12025,1.04936,2.77287,41.3827
9.88,2.11174,1.04199,2.80587,42.8988
9.9,2.10562,1.03495,2.83927,44.4461
9.92,2.10207,1.0281,2.87306,46.0252
9.94,2.10128,1.02172,2.90725,47.6375
9.96,2.1034,1.01573,2.94184,49.2834
9.98,2.10856,1.00998,2.97683,50.9633
10,1.70067,1.80171,2.67501,36.4009
10.02,1.69357,1.82467,2.70685,37.8703
10.04,1.69072,1.84759,2.73908,39.3723
10.06,1.69236,1.87075,2.77169,40.9081
10.08,1.69866,1.89425,2.8047,42.479
10.1,1.70976,1.91772,2.8381,44.0852
10.12,1.7258,1.94144,2.87189,45.7281
10.14,1.74683,1.96533,2.90609,47.4085
10.16,1.77287,1.98946,2.94068,49.1276
10.18,1.80387,2.01384,2.97568,50.8865
10.2,1.64846,0.639664,2.67412,35.8154
10.22,1.6998,0.608706,2.70596,37.2368
10.24,1.75605,0.577695,2.7382,38.684
10.26,1.81694,0.546488,2.77082,40.1574
10.28,1.88219,0.515266,2.80383,41.6581
10.3,1.95155,0.48395,2.83723,43.1867
10.32,2.02474,0.452442,2.87103,44.7438
10.34,2.10153,0.420997,2.90523,46.3306
10.36,2.18167,0.389431,2.93983,47.9474
10.38,2.26495,0.357782,2.97484,49.5951
10.4,1.57593,2.36852,2.67345,35.0083
10.42,1.67565,2.39786,2.7053,36.5136
10.44,1.77801,2.42705,2.73754,38.0561
10.46,1.88274,2.45606,2.77017,39.6368
10.48,1.98964,2.48484,2.80319,41.2566
10.5,2.09854,2.51335,2.8366,42.9164
10.52,2.20928,2.54166,2.8704,44.6173
10.54,2.32175,2.57,2.90461,46.3608
10.56,2.43583,2.59811,2.93921,48.1473
10.58,2.55143,2.62616,2.97422,49.9782
10.6,1.88411,2.94289,2.67297,35.0884
10.62,1.99798,2.98289,2.70482,36.6122
10.64,2.11348,3.02284,2.73707,38.1735
10.66,2.2305,3.06251,2.7697,39.7731
10.68,2.34895,3.10198,2.80272,41.412
10.7,2.46876,3.14148,2.83614,43.0921
10.72,2.58986,3.18096,2.86995,44.8142
10.74,2.71219,3.2202,2.90416,46.5789
10.76,2.83571,3.2592,2.93877,48.3872
10.78,2.96038,3.29805,2.97379,50.2403
10.8,2.51295,2.91091,2.67261,35.4846
10.82,2.62131,2.94627,2.70448,36.7848
10.84,2.7315,2.98252,2.73673,38.1096
10.86,2.84341,3.0191,2.76936,39.4591
10.88,2.95694,3.05593,2.80239,40.8343
10.9,3.072,3.09318,2.83581,42.2364
10.92,3.18851,3.13075,2.86963,43.6659
10.94,3.30641,3.16857,2.90384,45.1238
10.96,3.42563,3.20651,2.93846,46.6105
10.98,3.54611,3.2447,2.97348,48.1271
11,3.05396,1.91246,2.67236,36.1968
11.02,3.18037,1.89538,2.70422,37.5908
11.04,3.30789,1.87831,2.73648,39.0117
11.06,3.43647,1.86109,2.76912,40.4603
11.08,3.56607,1.8436,2.80215,41.9369
11.1,3.69668,1.82598,2.83558,43.4425
11.12,3.82826,1.8083,2.8694,44.978
11.14,3.96078,1.79068,2.90362,46.5442
11.16,4.09421,1.7728,2.93824,48.1413
11.18,4.22852,1.7548,2.97326,49.7701
