time,euler_pos,rk4_pos,exact_pos,euler_energy,rk4_energy
15.90000000,22.59199527,0.92723733,0.92714600,1021.71776377,1.99971877
16.00000000,22.72773499,0.83439617,0.83422336,1062.58647432,1.99971700
16.10000000,21.95979490,0.70829123,0.70804286,1105.08993330,1.99971523
16.20000000,20.28274541,0.55394982,0.55363493,1149.29353063,1.99971346
16.30000000,17.72730413,0.37752491,0.37715533,1195.26527185,1.99971169
16.40000000,14.36055302,0.18604982,0.18563972,1243.07588273,1.99970992
16.50000000,10.28470976,-0.01284212,-0.01327675,1292.79891804,1.99970815
16.60000000,5.63444437,-0.21122192,-0.21166392,1344.51087476,1.99970639
16.70000000,0.57279059,-0.40118102,-0.40161271,1398.29130975,1.99970462
16.80000000,-4.71424096,-0.57514655,-0.57555048,1454.22296214,1.99970285
16.90000000,-10.02418413,-0.72618327,-0.72654286,1512.39188062,1.99970108
17.00000000,-15.14555767,-0.84826998,-0.84857027,1572.88755585,1.99969931
17.10000000,-19.86596384,-0.93653965,-0.93676787,1635.80305808,1.99969754
17.20000000,-23.98054771,-0.98747334,-0.98761948,1701.23518041,1.99969577
17.30000000,-27.30049302,-0.99904060,-0.99909783,1769.28458762,1.99969401
17.40000000,-29.66121642,-0.97078031,-0.97074529,1840.05597113,1.99969224
17.50000000,-30.92992011,-0.90381913,-0.90369221,1913.65820997,1.99969047
17.60000000,-31.01217513,-0.80082656,-0.80061176,1990.20453837,1.99968870
17.70000000,-29.85723335,-0.66590849,-0.66561346,2069.81271991,1.99968693
17.80000000,-27.46180457,-0.50444358,-0.50407924,2152.60522870,1.99968516
17.90000000,-23.87208645,-0.32286878,-0.32244898,2238.70943785,1.99968339
18.00000000,-19.18389615,-0.12842272,-0.12796369,2328.25781536,1.99968163
18.10000000,-13.54082239,0.07114284,0.07162311,2421.38812798,1.99967986
18.20000000,-7.13039279,0.26787205,0.26835451,2518.24365310,1.99967809
18.30000000,-0.17833029,0.45392217,0.45438747,2618.97339922,1.99967632
18.40000000,7.05894793,0.62187616,0.62230544,2723.73233519,1.99967455
18.50000000,14.30335935,0.76503841,0.76541405,2832.68162860,1.99967278
18.60000000,21.26541286,0.87770169,0.87800802,2945.98889374,1.99967101
18.70000000,27.65533199,0.95537461,0.95559858,3063.82844949,1.99966924
18.80000000,33.19463461,0.99496070,0.99509244,3186.38158747,1.99966748
18.90000000,37.62772394,0.99488186,0.99491511,3313.83685097,1.99966571
19.00000000,40.73302790,0.95514129,0.95507364,3446.39032501,1.99966394
19.10000000,42.33322290,0.87732329,0.87715641,3584.24593801,1.99966217
19.20000000,42.30409678,0.76453019,0.76426972,3727.61577553,1.99966040
19.30000000,40.58164174,0.62125859,0.62091401,3876.72040655,1.99965863
19.40000000,37.16702283,0.45322016,0.45280441,4031.78922281,1.99965686
19.50000000,32.12913826,0.26711389,0.26664293,4193.06079172,1.99965510
19.60000000,25.60457277,0.07035909,0.06985124,4360.78322339,1.99965333
19.70000000,17.79484175,-0.12920045,-0.12972520,4535.21455233,1.99965156
19.80000000,8.96092782,-0.32360914,-0.32412990,4716.62313442,1.99964979
19.90000000,-0.58477978,-0.50511673,-0.50561257,4905.28805980,1.99964802
20.00000000,-10.48892449,-0.66648729,-0.66693806,5101.49958219,1.99964625
20.10000000,-20.36967802,-0.80128766,-0.80167484,5305.55956548,1.99964448
20.20000000,-29.83087456,-0.90414396,-0.90445137,5517.78194810,1.99964272
20.30000000,-38.47728398,-0.97095576,-0.97117027,5738.49322602,1.99964095
20.40000000,-45.93045842,-0.99905959,-0.99917169,5968.03295506,1.99963918
20.50000000,-51.84454150,-0.98733510,-0.98733928,6206.75427327,1.99963741
20.60000000,-55.92140624,-0.93624974,-0.93614477,6455.02444420,1.99963564
20.70000000,-57.92448933,-0.84784009,-0.84762912,6713.22542196,1.99963387
20.80000000,-57.69071616,-0.72563071,-0.72532117,6981.75443884,1.99963210
20.90000000,-55.13996342,-0.57449361,-0.57409696,7261.02461640,1.99963034
21.00000000,-50.28158203,-0.40045400,-0.39998531,7551.46560105,1.99962857
21.10000000,-43.21760211,-0.21045014,-0.20992752,7853.52422509,1.99962680
21.20000000,-34.14235891,-0.01205668,-0.01150057,8167.66519410,1.99962503
21.30000000,-23.33841162,0.18681725,0.18738487,8494.37180186,1.99962326
21.40000000,-11.16876997,0.37824339,0.37879986,8834.14667394,1.99962149
21.50000000,1.93440814,0.55459039,0.55511330,9187.51254089,1.99961972
21.60000000,15.48433704,0.70882806,0.70929613,9555.01304253,1.99961796
21.70000000,28.95688963,0.83480760,0.83520155,9937.21356423,1.99961619
21.80000000,41.81006873,0.92750678,0.92781013,10334.70210680,1.99961442
21.90000000,53.50497224,0.98323008,0.98342984,10748.09019107,1.99961265
22.00000000,63.52747301,0.99975611,0.99984331,11178.01379872,1.99961088
22.10000000,71.40977489,0.97642606,0.97639618,11625.13435066,1.99960911
22.20000000,76.75097785,0.91417004,0.91402322,12090.13972469,1.99960735
22.30000000,79.23578981,0.81546997,0.81521103,12573.74531368,1.99960558
22.40000000,78.65056265,0.68426065,0.68389896,13076.69512622,1.99960381
22.50000000,74.89590391,0.52577285,0.52532199,13599.76293127,1.99960204
22.60000000,67.99522266,0.34632484,0.34580209,14143.75344852,1.99960027
22.70000000,58.09870525,0.15307049,0.15249615,14709.50358647,1.99959850
22.80000000,45.48237894,-0.04628597,-0.04688932,15297.88372992,1.99959673
22.90000000,30.54210441,-0.24379703,-0.24440547,15909.79907912,1.99959497
