t,x,y,v,steer_deg,accel
2.92,18.104,14.4375,7.64202,-9.74819,-2.45388
2.94,18.2484,14.486,7.59294,-18.5271,-3.0596
2.96,18.3925,14.5322,7.53175,-11.3181,-2.87212
2.98,18.536,14.5759,7.4743,-6.60407,-2.69613
3,18.6789,14.618,7.42038,-18.1398,-3.24458
3.02,18.8211,14.6581,7.35549,-11.0939,-3.04576
3.04,18.9627,14.6957,7.29457,-20.5035,-3.52959
3.06,19.1035,14.7309,7.22398,-12.7645,-3.31331
3.08,19.2436,14.7635,7.15772,-7.66715,-3.11028
3.1,19.3827,14.7945,7.09551,-20.0351,-3.54612
3.12,19.521,14.8234,7.02459,-12.5761,-3.32883
3.14,19.6582,14.8499,6.95801,-7.59764,-3.12485
3.16,19.7945,14.8749,6.89552,-21.7932,-3.51489
3.18,19.9298,14.8978,6.82522,-13.707,-3.29951
3.2,20.0641,14.9183,6.75923,-25.1169,-3.63303
3.22,20.1973,14.9363,6.68657,-15.9446,-3.41041
3.24,20.3295,14.9515,6.61836,-9.90132,-3.20143
3.26,20.4605,14.9652,6.55433,-24.2345,-3.49424
3.28,20.5904,14.9767,6.48445,-15.522,-3.28012
3.3,20.7191,14.9859,6.41884,-27.1364,-3.52049
3.32,20.8466,14.9926,6.34843,-17.6271,-3.30477
3.34,20.9728,14.9968,6.28234,-11.3053,-3.10226
3.36,21.0978,14.9994,6.22029,-25.8237,-3.30509
3.38,21.2216,15,6.15419,-17.0427,-3.10256
3.4,21.344,14.9984,6.09214,-11.0632,-2.91245
3.42,21.4652,14.9955,6.03389,-27.1139,-3.07771
3.44,21.5852,14.9906,5.97234,-18.0354,-2.88912
3.46,21.7039,14.9837,5.91455,-11.8362,-2.71208
3.48,21.8213,14.9754,5.86031,-28.8842,-2.83979
3.5,21.9375,14.9653,5.80352,-19.2619,-2.66577
3.52,22.0524,14.953,5.7502,-32.4916,-2.74597
3.54,22.1659,14.9386,5.69528,-23.0162,-2.5777
3.56,22.2781,14.922,5.64373,-15.4838,-2.41975
3.58,22.389,14.9039,5.59533,-30.6683,-2.46433
3.6,22.4986,14.884,5.54605,-21.1793,-2.31332
3.62,22.6069,14.8622,5.49978,-14.3708,-2.17157
3.64,22.714,14.839,5.45635,-30.5327,-2.1805
3.66,22.8199,14.8143,5.41274,-21.2482,-2.04688
3.68,22.9244,14.7878,5.3718,-14.5715,-1.92146
3.7,23.0278,14.7601,5.33337,-31.0944,-1.89492
3.72,23.13,14.7309,5.29547,-22.0579,-1.7788
3.74,23.2309,14.7,5.2599,-15.2688,-1.6698
3.76,23.3307,14.6679,5.2265,-31.7519,-1.60815
3.78,23.4294,14.6344,5.19434,-22.9344,-1.50961
