t,x,y,v,steer_deg,accel
4.8,30.6905,11.4191,7.39483,4.09776,-0.851389
4.82,30.8071,11.5097,7.3778,2.80228,-0.799218
4.84,30.9232,11.6006,7.36182,19.7814,-3.29393
4.86,31.0377,11.6921,7.29594,13.3031,-3.09209
4.88,31.1496,11.7848,7.2341,8.86811,-2.90261
4.9,31.2597,11.8778,7.17605,5.75566,-2.72475
4.92,31.3683,11.9708,7.12155,33.9133,-5.65862
4.94,31.4739,12.0646,7.00838,23.7339,-5.31187
4.96,31.5755,12.1597,6.90214,15.2784,-4.98638
4.98,31.6738,12.2552,6.80241,48.5103,-7.44753
5,31.7683,12.351,6.65346,41.3774,-6.99117
5.02,31.858,12.4473,6.51364,32.5342,-6.56277
5.04,31.9433,12.5441,6.38238,22.0832,-6.16062
5.06,32.0246,12.6408,6.25917,67.9296,-7.7244
5.08,32.102,12.7373,6.10468,63.8229,-7.25107
5.1,32.175,12.8333,5.95966,58.2237,-6.80674
5.12,32.2439,12.9289,5.82353,51.2327,-6.38964
5.14,32.3089,13.024,5.69573,108.876,-6.8896
5.16,32.3701,13.1184,5.55794,109.517,-6.46743
5.18,32.4276,13.212,5.42859,108.827,-6.07112
5.2,32.4817,13.3047,5.30717,106.892,-5.6991
5.22,32.5326,13.3966,5.19319,169.045,-5.08682
5.24,32.5804,13.4877,5.09145,174.132,-4.77512
5.26,32.6253,13.578,4.99595,178.042,-4.48251
5.28,32.6674,13.6676,4.9063,-179.165,-4.20784
5.3,32.7089,13.7556,4.82214,-156.541,-3.94999
5.32,32.7514,13.8413,4.74314,-83.243,-2.14211
5.34,32.795,13.925,4.7003,-53.691,-2.01085
5.36,32.84,14.0071,4.66008,-23.5417,-1.88763
5.38,32.886,14.0878,4.62233,4.76561,-1.77196
5.4,32.9321,14.1675,4.58689,24.6852,-1.66338
5.42,32.9771,14.247,4.55362,38.0239,-1.56145
5.44,33.0205,14.3268,4.5224,71.5706,1.29144
5.46,33.0622,14.4073,4.54822,84.3901,1.2123
5.48,33.1026,14.489,4.57247,96.521,1.13802
5.5,33.1416,14.572,4.59523,107.939,1.06828
5.52,33.1792,14.6561,4.6166,118.621,1.00282
5.54,33.2152,14.7414,4.63665,128.545,0.94137
5.56,33.2496,14.8277,4.65548,137.69,0.883686
5.58,33.2825,14.915,4.67315,148.673,4.11614
5.6,33.3139,15.0036,4.73315,157.695,3.93231
5.62,33.3438,15.0941,4.79315,165.996,3.74848
5.64,33.3723,15.1862,4.85315,173.539,3.56465
5.66,33.3991,15.2801,4.91315,-179.717,3.38082
5.68,33.4263,15.3752,4.97315,-153.142,3.19699
5.7,33.4559,15.4708,5.03315,-136.513,5.77029
5.72,33.4879,15.5668,5.09315,-107.513,5.58645
5.74,33.5224,15.6633,5.15315,-77.2364,5.40262
5.76,33.5594,15.7601,5.21315,-45.6605,5.21879
5.78,33.5991,15.8572,5.27315,-12.7629,5.03496
5.8,33.6407,15.9548,5.33315,14.8015,4.85113
5.82,33.6827,16.0535,5.39315,14.3902,6.24027
5.84,33.7242,16.1537,5.45315,31.799,6.05644
5.86,33.7643,16.2557,5.51315,42.6458,5.87261
